date_started,date_ended,title,author,pages,category,subcategory,country,my_rating,publication_year
-,2003-01-01,Namma: A Tibetan Love Story,Kate Karko,352,non-fiction,travel,,4,2001
-,2003-01-01,Quite Contrary,Suzannah Dunn,209,fiction,literature,UK,1,1991
-,2003-01-01,The Bell Jar,Sylvia Plath,234,non-fiction,literature,,3,1963
-,2004-01-01,The World We're In,Will Hutton,528,non-fiction,economics,,3,2002
-,2004-01-01,"Knowledge and the Social Sciences: Theory, Methods, Practice",David   Goldblatt,192,non-fiction,politics,,3,2000
-,2004-01-01,The Ballad of the Sad Cafe,Edward Albee,160,fiction,literature,USA,2,1963
-,2004-01-01,"Ordering Lives: Family, Work and Welfare",Gordon Hughes,177,non-fiction,politics,,3,2000
-,2004-01-01,"The Natural and the Social: Uncertainty, Risk, Change",Steve Hinchliffe,165,non-fiction,politics,,3,2000
-,2004-01-01,"Questioning Identity: Gender, Class, Nation",Kath Woodward,172,non-fiction,politics,,3,1999
-,2004-01-01,I'm Not the Only One,George Galloway,212,non-fiction,politics,,3,2004
-,2004-01-01,The Reluctant Fundamentalist,Mohsin Hamid,184,fiction,politics,UK,2,2007
-,2004-01-01,One Thousand Chestnut Trees: a Novel of Korea,Mira Stout,368,fiction,literature,South Korea,3,1997
-,2004-01-01,The God of Small Things,Arundhati Roy,340,fiction,literature,India,4,1997
-,2004-01-01,Liquor (Rickey and G-Man #2),Poppy Z. Brite,339,fiction,literature,USA,3,2004
-,2004-01-01,The Art of Travel,Alain de Botton,272,non-fiction,philosophy,,4,2002
-,2004-01-01,Generation X: Tales for an Accelerated Culture,Douglas Coupland,211,fiction,literature,Canada,2,1991
-,2004-01-01,Love Is The Drug,John Aizlewood,301,non-fiction,music,,3,1994
-,2004-01-01,The Bridge of San Luis Rey,Thornton Wilder,160,fiction,literature,USA,1,1927
-,2004-01-01,The Best Democracy Money Can Buy,Greg Palast,416,non-fiction,politics,,4,2002
-,2004-01-01,The Twins: Men of Violence,Kate Kray,239,non-fiction,other,,3,2000
-,2004-01-01,A Town Like Alice,Nevil Shute,359,fiction,literature,UK,2,1950
-,2004-01-01,Fences and Windows: Dispatches from the Front Lines of the Globalization Debate,Naomi Klein,304,non-fiction,politics,,3,2000
-,2005-01-01,"Making Policy, Shaping Lives",Raia Prokhovnik,191,non-fiction,politics,,3,2005
-,2005-01-01,Living Political Ideas,Michael Saward,161,non-fiction,politics,,3,2005
-,2005-01-01,Politics and Power in the UK,Richard Heffernan,176,non-fiction,politics,,3,2005
-,2005-01-01,Exploring Political Worlds,Paul Lewis,176,non-fiction,politics,,3,2004
-,2005-01-01,What Is Politics?,Jef Huysmans,81,non-fiction,politics,,3,2004
-,2005-01-01,Moral Philosophy,D.D. Raphael,160,non-fiction,philosophy,,3,1981
-,2005-01-01,No Logo,Naomi Klein,528,non-fiction,politics,,5,2000
-,2005-01-01,A View from the Bridge / All My Sons,Arthur  Miller,171,fiction,literature,USA,3,1955
